Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Texas instruments  inc.,TXN,"",13650.0,1764000.0,0.7322,0.6541,28,0.0,0.0,,0.0014621,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,101.8743
Kirkland lake gold ltd,KL,"",38505.0,1726000.0,0.7164,0.688,29,300.0,0.785238,addition,No Data,Q2 2019,MATERIALS,13F,09/30/2019,42.9346
Union pacific corp.,UNP,"",10600.0,1717000.0,0.7127,0.1942,30,7850.0,285.454545,addition,0.0015045,Q4 2018,TRANSPORTS,13F,09/30/2019,155.8184
Reinsurance group of america inc,RGA,"",10266.0,1641000.0,0.6812,0.6692,31,0.0,0.0,,0.0163576,Q4 2018,FINANCE,13F,09/30/2019,140.23
Home depot  inc. (the),HD,"",7070.0,1640000.0,0.6807,0.614,32,0.0,0.0,,0.0006456,Q4 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,171.82
Baxter international inc.,BAX,"",18450.0,1614000.0,0.6699,0.6312,33,0.0,0.0,,0.0036137,Q4 2018,HEALTH CARE,13F,09/30/2019,67.2095
Bank of america corp. (north carolina national bank),BAC,"",51200.0,1494000.0,0.6201,0.6203,34,0.0,0.0,,0.0005500,Q4 2018,FINANCE,13F,09/30/2019,26.7394
Atmos energy corp,ATO,"",12790.0,1457000.0,0.6048,0.5639,35,0.0,0.0,,0.0108206,Q4 2018,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,92.72
Evergy (kansas power & light - western resources - westar energy inc.),EVRG,"",21575.0,1436000.0,0.5961,,36,21575.0,,new,0.0151691,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,66.56
Lilly (eli) & co.,LLY,"",11016.0,1232000.0,0.5114,0.5096,37,0.0,0.0,,0.0011410,Q2 2019,HEALTH CARE,13F,09/30/2019,110.79
Fidelity national information services inc,FIS,"",8817.0,1171000.0,0.4861,0.3546,38,1900.0,27.468556,addition,0.0014373,Q4 2018,FINANCE,13F,09/30/2019,109.06
Conocophillips (phillips petroleum),COP,"",19875.0,1132000.0,0.4699,0.5063,39,0.0,0.0,,0.0017903,Q4 2018,ENERGY,13F,09/30/2019,62.35
Chubb limited,CB,"",6830.0,1103000.0,0.4578,0.4202,40,0.0,0.0,,0.0014986,Q4 2018,FINANCE,13F,09/30/2019,129.18
Spdr s&p consumer staples etf,XLP,"",16700.0,1026000.0,0.4259,,41,16700.0,,new,No Data,Q3 2019,CONSUMER STAPLES,13F,09/30/2019,61.42
Kohls corp.,KSS,"",20648.0,1025000.0,0.4255,0.4123,42,-100.0,-0.481974,reduction,0.0129756,Q4 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,66.3883
Danaher corp.,DHR,"",6820.0,985000.0,0.4089,0.4073,43,0.0,0.0,,0.0009507,Q4 2018,HEALTH CARE,13F,09/30/2019,103.12
Thermo fisher scientific  inc.,TMO,"",3305.0,963000.0,0.3997,0.4056,44,0.0,0.0,,0.0008253,Q4 2018,HEALTH CARE,13F,09/30/2019,223.79
American tower corp.  class a,AMT,"",4350.0,962000.0,0.3993,0.4528,45,-950.0,-17.924528,reduction,0.0009826,Q4 2018,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,158.19
Zoetis  inc.,ZTS,"",7552.0,941000.0,0.3906,0.505,46,-3100.0,-29.102516,reduction,0.0015814,Q4 2018,HEALTH CARE,13F,09/30/2019,85.54
Jpmorgan chase & co. (chemical bank),JPM,"",7685.0,904000.0,0.3752,0.3588,47,0.0,0.0,,0.0002403,Q4 2018,FINANCE,13F,09/30/2019,97.62
International business machines corp,IBM,"",6100.0,887000.0,0.3682,0.3513,48,0.0,0.0,,0.0006886,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,113.67
Air products & chemicals inc,APD,"",3950.0,876000.0,0.3636,0.3734,49,0.0,0.0,,0.0017925,Q4 2018,MATERIALS,13F,09/30/2019,160.05
Walt disney co. (the),DIS,"",6585.0,858000.0,0.3561,0.3843,50,0.0,0.0,,0.0003656,Q4 2018,COMMUNICATIONS,13F,09/30/2019,109.65
Discover financial services,DFS,"",10445.0,847000.0,0.3516,0.3805,51,-1300.0,-11.06854,reduction,0.0032821,Q4 2018,FINANCE,13F,09/30/2019,58.98
Activision blizzard inc,ATVI,"",15850.0,839000.0,0.3483,0.2256,52,4400.0,38.427948,addition,0.0020664,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,48.3328
Citigroup  inc.,C,"",11880.0,821000.0,0.3408,0.4002,53,-1800.0,-13.157895,reduction,0.0005259,Q4 2018,FINANCE,13F,09/30/2019,52.06
Suntrust banks  inc.,STI,"",11550.0,795000.0,0.33,0.2874,54,600.0,5.479452,addition,0.0026017,Q4 2018,FINANCE,13F,09/30/2019,53.1129
Nike inc.,NKE,"",8355.0,785000.0,0.3258,0.2928,55,0.0,0.0,,0.0005352,Q4 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,74.14
Unitedhealth group inc.,UNH,"",3500.0,761000.0,0.3159,0.2648,56,900.0,34.615385,addition,0.0003693,Q4 2018,HEALTH CARE,13F,09/30/2019,240.9429
Illinois tool works inc,ITW,"",4800.0,751000.0,0.3117,0.3024,57,0.0,0.0,,0.0014839,Q4 2018,INDUSTRIALS,13F,09/30/2019,126.69
Ameren corporation,AEE,"",8915.0,714000.0,0.2964,0.2799,58,0.0,0.0,,0.0036269,Q4 2018,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,65.23
Salesforce.com inc.,CRM,"",4800.0,713000.0,0.296,0.3041,59,0.0,0.0,,0.0005473,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,136.97
Fortive corp,FTV,"",9771.0,670000.0,0.2781,0.3329,60,0.0,0.0,,0.0029121,Q4 2018,INDUSTRIALS,13F,09/30/2019,67.66
Servicenow inc,NOW,"",2532.0,643000.0,0.2669,0.3613,61,-618.0,-19.619048,reduction,0.0013504,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,178.05
Booking holdings inc. (priceline),BKNG,"",325.0,638000.0,0.2648,0.2544,62,0.0,0.0,,0.0006625,Q4 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,1722.42
Lockheed martin corp.,LMT,"",1525.0,595000.0,0.247,0.2314,63,0.0,0.0,,0.0005400,Q4 2018,INDUSTRIALS,13F,09/30/2019,261.84
Prudential financial inc.,PRU,"",6600.0,594000.0,0.2466,0.2786,64,0.0,0.0,,0.0016418,Q4 2018,FINANCE,13F,09/30/2019,81.55
Cme group inc,CME,"",2800.0,592000.0,0.2457,0.2272,65,0.0,0.0,,0.0007819,Q4 2018,FINANCE,13F,09/30/2019,188.12
Public storage  inc.,PSA,"",2400.0,589000.0,0.2445,0.2389,66,0.0,0.0,,0.0013746,Q4 2018,REAL ESTATE,13F,09/30/2019,202.41
Alibaba group holding ltd adr,BABA,"",3495.0,584000.0,0.2424,0.2473,67,0.0,0.0,,0.0001374,Q4 2018,COMMUNICATIONS,13F,09/30/2019,137.07
Occidental petroleum corp.,OXY,"",12910.0,574000.0,0.2383,0.2185,68,2500.0,24.01537,addition,0.0017251,Q4 2018,ENERGY,13F,09/30/2019,58.1054
Te connectivity ltd,TEL,"",6050.0,564000.0,0.2341,0.2419,69,0.0,0.0,,0.0018009,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,75.63
Amphenol corp. (1987),APH,"",5450.0,526000.0,0.2183,,70,5450.0,,new,0.0018322,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,96.5
Cintas corporation,CTAS,"",1925.0,516000.0,0.2142,0.4833,71,-2950.0,-60.512821,reduction,0.0018599,Q4 2018,INDUSTRIALS,13F,09/30/2019,167.99
Capri holdings ltd,CPRI,"",15150.0,502000.0,0.2084,0.2193,72,0.0,0.0,,0.0101460,Q4 2018,INDUSTRIALS,13F,09/30/2019,34.68
Cisco systems  inc.,CSCO,"",10000.0,494000.0,0.2051,0.2285,73,0.0,0.0,,0.0002356,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,43.33
Medtronic plc,MDT,"",4500.0,489000.0,0.203,0.183,74,0.0,0.0,,0.0003354,Q4 2018,HEALTH CARE,13F,09/30/2019,90.96
American water works co inc,AWK,"",3820.0,475000.0,0.1972,0.3693,75,-3800.0,-49.868766,reduction,0.0021146,Q4 2018,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,90.77
Huntington bancshares  inc. (huntington national bank  columbus  oh),HBAN,"",33000.0,471000.0,0.1955,0.1905,76,0.0,0.0,,0.0031797,Q4 2018,FINANCE,13F,09/30/2019,11.9263
Blackrock inc. class a,BLK,"",1032.0,460000.0,0.1909,0.2022,77,0.0,0.0,,0.0006677,Q4 2018,FINANCE,13F,09/30/2019,392.82
Abbvie inc,ABBV,"",6050.0,458000.0,0.1901,0.1838,78,0.0,0.0,,0.0004092,Q4 2018,HEALTH CARE,13F,09/30/2019,92.19
Amdocs ltd,DOX,"",6775.0,448000.0,0.186,,79,6775.0,,new,0.0048538,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,66.11
Pinnacle west capital corp,PNW,"",4550.0,442000.0,0.1835,0.1788,80,0.0,0.0,,0.0040516,Q4 2018,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,85.2
Iqvia holdings inc,IQV,"",2700.0,403000.0,0.1673,,81,2700.0,,new,0.0013783,Q3 2019,HEALTH CARE,13F,09/30/2019,149.38
Merck & co,MRK,"",4600.0,387000.0,0.1606,0.1612,82,0.0,0.0,,0.0001797,Q4 2018,HEALTH CARE,13F,09/30/2019,76.41
Kla corp,KLAC,"",2400.0,383000.0,0.159,,83,2400.0,,new,0.0015146,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,159.45
Msci inc,MSCI,"",1750.0,381000.0,0.1581,,84,1750.0,,new,0.0020661,Q3 2019,FINANCE,13F,09/30/2019,217.75
Pioneer natural resources co.,PXD,"",2985.0,375000.0,0.1557,0.1917,85,0.0,0.0,,0.0017859,Q4 2018,ENERGY,13F,09/30/2019,131.52
S&p global inc. (mcgraw-hill inc.),SPGI,"",1525.0,374000.0,0.1552,,86,1525.0,,new,0.0006192,Q3 2019,COMMUNICATIONS,13F,09/30/2019,244.98
Broadridge financial solutions inc,BR,"",3000.0,373000.0,0.1548,0.16,87,0.0,0.0,,0.0026212,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,96.25
Sysco corp.,SYY,"",4400.0,349000.0,0.1449,,88,4400.0,,new,0.0008594,Q3 2019,CONSUMER STAPLES,13F,09/30/2019,79.4
Mcdonalds corp.,MCD,"",1625.0,349000.0,0.1449,0.1408,89,0.0,0.0,,0.0002140,Q4 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,177.57
Coca cola co.,KO,"",6400.0,348000.0,0.1444,,90,6400.0,,new,0.0001497,Q3 2019,CONSUMER STAPLES,13F,09/30/2019,54.44
Paychex inc.,PAYX,"",4150.0,344000.0,0.1428,,91,4150.0,,new,0.0011594,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,82.77
Starbucks corp.,SBUX,"",3300.0,292000.0,0.1212,0.1157,92,0.0,0.0,,0.0002757,Q4 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,64.4
Exelon corp,EXC,"",5700.0,275000.0,0.1141,1.1792,93,-53196.0,-90.321923,reduction,0.0005867,Q4 2018,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,45.1
Progressive corp.,PGR,"",3250.0,251000.0,0.1042,0.1086,94,0.0,0.0,,0.0005559,Q4 2018,FINANCE,13F,09/30/2019,60.33
Accenture plc,ACN,"",1275.0,245000.0,0.1017,0.0986,95,0.0,0.0,,0.0002006,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,141.01
Costco co.,COST,"",850.0,245000.0,0.1017,0.094,96,0.0,0.0,,0.0001935,Q4 2018,CONSUMER STAPLES,13F,09/30/2019,203.71
Automatic data processing inc,ADP,"",1475.0,238000.0,0.0988,0.1019,97,0.0,0.0,,0.0003401,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,131.12
Ross stores inc. (de),ROST,"",2100.0,231000.0,0.0959,0.0869,98,0.0,0.0,,0.0005805,Q1 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,97.314
Ametek inc.,AME,"",2400.0,220000.0,0.0913,0.0911,99,0.0,0.0,,0.0010510,Q1 2019,INDUSTRIALS,13F,09/30/2019,89.5283
Boeing company,BA,"",573.0,218000.0,0.0905,0.0873,100,0.0,0.0,,0.0001018,Q4 2018,INDUSTRIALS,13F,09/30/2019,322.5
Abbott laboratories,ABT,"",2525.0,211000.0,0.0876,0.0886,101,0.0,0.0,,0.0001429,Q4 2018,HEALTH CARE,13F,09/30/2019,72.33
Xilinx  inc,XLNX,"",2050.0,197000.0,0.0818,0.1011,102,0.0,0.0,,0.0008115,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,86.4897
Eaton corp.,ETN,"",1950.0,162000.0,0.0672,0.0677,103,0.0,0.0,,0.0004643,Q2 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,83.28
Kimberly-clark corp.,KMB,"",1100.0,156000.0,0.0648,0.0614,104,0.0,0.0,,0.0003196,Q1 2019,CONSUMER STAPLES,13F,09/30/2019,123.9
Arthur j. gallagher & co inc,AJG,"",1675.0,150000.0,0.0623,0.0614,105,0.0,0.0,,0.0009002,Q1 2019,FINANCE,13F,09/30/2019,78.1
Agilent technologies inc,A,"",1625.0,125000.0,0.0519,0.0505,106,0.0,0.0,,0.0005251,Q1 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,80.38
Genuine parts co.,GPC,"",1250.0,124000.0,0.0515,0.0539,107,0.0,0.0,,0.0008557,Q1 2019,INDUSTRIALS,13F,09/30/2019,112.03
Pfizer  inc.,PFE,"",0.0,0.0,,0.6997,"",-38660.0,-100.0,soldall,0.0000000,Q4 2018,HEALTH CARE,13F,09/30/2019,43.65
Morgan stanley,MS,"",0.0,0.0,,0.3521,"",-19250.0,-100.0,soldall,0.0000000,Q4 2018,FINANCE,13F,09/30/2019,39.65
Clorox co.,CLX,"",0.0,0.0,,0.0702,"",-1100.0,-100.0,soldall,0.0000000,Q4 2018,CONSUMER STAPLES,13F,09/30/2019,154.14
Raytheon co.,RTN,"",0.0,0.0,,0.368,"",-5065.0,-100.0,soldall,0.0000000,Q4 2018,INDUSTRIALS,13F,09/30/2019,153.35
Church & dwight co.  inc.,CHD,"",0.0,0.0,,0.378,"",-12385.0,-100.0,soldall,0.0000000,Q4 2018,CONSUMER STAPLES,13F,09/30/2019,65.76
Nextera energy inc.,NEE,"",0.0,0.0,,0.028,"",-325.0,-100.0,soldall,0.0000000,Q4 2018,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,173.82
3m co. (minnesota mining & manufacturing),MMM,"",0.0,0.0,,0.2678,"",-3700.0,-100.0,soldall,0.0000000,Q4 2018,INDUSTRIALS,13F,09/30/2019,190.54
